Hindi,English
पूर्ण,Complete
पुलिस,Police
बोला,spoke
थईआ,Thiaia
कमी,Shortage
समस्या,Problem
कार्यक्रम,Program
विवाह,Marriage
भूमि,Earth
भाव,Rate
देखकर,after seeing
करोड़,Ten million
प्रथम,First
मूल,Original
परिवर्तन,Change
बच्चों,Children
लाभ,Benefit
प्रदान,Grant
आये,Come
छोटी,Small
स्त्री,Woman
सेवा,Service
व्यवहार,Behaviour
राम,Ram
रचना,Composition
की,Did
भिन्न,Different
मिट्टी,Soil
देशों,Countries
इनके,Their
आती,Come
सही,Correct
उपलब्ध,Available
बल्कि,Rather
प्राय,At the time
बिजली,Electricity
लेते,Take
जान,Life
बढ़,Enhancement
सारे,all
शायद,Perhaps
सरकारी,Government
पड़,Fall
चुका,Repayed
पड़ा,Lying
विधि,Method
छोड़,leave
लिखा,wrote
जबकि,Whereas
सिर्फ,Only
दर्शन,Visit
प्रक्रिया,Process
दिखाई,Visible
कुल,Total
शब्दों,Words
लाल,Red
निकल,Out
नये,New
रखने,Keep
पंजाब,Punjab
नदी,River
गए,Went
मृत्यु,Death
स्वीकार,Accept
अन्तरिक्ष,Space
आकर,Size
याद,Memory
उठा,picking
दूध,Milk
कांग्रेस,Congress
सारी,all
माध्यम,Channel
दूसरा,Second
संबंध,Relation
जिन,Ginnie
चाहे,whether
चाहते,Want
प्रणाली,System
तभी,Only
होंगे,Will be
इनमें,In
सन,Sun
मान,Value
पुत्र,Son
उद्देश्य,Objective
विश्वास,Belief
पिछले,last
ताकि,So that
निश्चित,Fixed
जिसका,Whose
जानकारी,Information
नेता,Leader
बालक,Boy
अन्त,End
उचित,Appropriate
संगीत,music
जल्दी,Quick
क्षमता,Capacity
हजार,Thousand
जाएगा,Will go
बनाया,Make
पति,Husband
कोशिश,Effort
चुके,Sailed
खाने,Eating
फसल,Crop
प्रकृति,Nature
पौधों,Plants
प्रकट,Revealed
पक्ष,Party
नीति,Policy
यद्यपि,Although
मात्र,Only
भारी,Heavy
पुस्तकालय,Library
चले,Let's go
समिति,Committee
सामग्री,Material
चाहिये,Want
अन्तर्गत,Under
माल,Goods
शामिल,Involved
बोली,Dialect
उनसे,With them
अपेक्षा,Expectation
हेतु,For
नगर,City
दिये,Lamp
सम्बन्धी,Related
पुस्तक,Book
खुद,Self
वर्णन,Description
बने,Made up
जोर,Loser
करें,Do
जिनमें,In which
लक्षण,Symptom
नामक,Nominated
वहीं,There itself
तुम्हारे,Your
विश्व,World
शासन,Government
वैसे,By the way
युग,Era
बैठ,Seated
स्थापना,Establishment
अर्थात,In other words
सारा,All
लेता,Take
लगती,Looks like
शैली,Style
लें,Take
पार्टी,Party
गीत,Song
अवसर,Occasion
युद्ध,Warning
मालूम,Known
चारों,All four
प्रकाश,Light
जायेगा,will go
बैठे,Seated
तुम्हें,You
समाप्त,End
जाय,Go
साफ,Clean
धार्मिक,Religious
ताप,Heat
उल्लेख,Mention
वर्तमान,Current
लेना,Take
थोड़ी,Slightly
इनका,Their
विकसित,advanced
बन्द,Off
प्रसिद्ध,Famous
विशिष्ट,Specific
प्रेम,Love
चली,Sustained
रखते,Keep
भावना,Emotion
चलता,On
सिद्ध,Proven
वालों,People
चित्रों,Paintings
पुरुष,Male
पदार्थ,Substance
चर्चा,Discussion
खाना,Eat
उच्च,High
इतने,So much
दी,Gave
दिए,Given
सीमा,Limit
वस्तु,Thing
पड़ी,Lying
गति,Speed
अत्यन्त,Extremely
संगठन,Organization
कितना,How much
इस्तेमाल,Use
बाबा,Dad
प्रकाशित,Published
ढंग,behaviour
अधिकार,Right
उधर,There
पड़े,Lying
सके,Sustain
सूचना,Information
अंग्रेजी,English
सुन्दर,Beautiful
पुनः,Again
केंद्रीय,Central
आधुनिक,Modern
शहर,City 
प्रधानमंत्री,Prime Minister
ब्राह्मण,Brahmin
उनको,For them
महीने,Month
अच्छे,Good
हवा,Air
शाम,Evening
इधर,here
संसार,World
विरोध,Oppose
रखना,Keep
प्रशिक्षण,Training
संघ,Federation
बनी,Made
पृथ्वी,Earth
ऊर्जा,energy
हमने,We
वास्तविक,Real
सहयोग,Cooperation
तेल,Oil
अवधि,Duration
सात,Seven
लगते,Felt
मार्ग,Way
बंद,Close
प्रचलित,Prevailing
संघर्ष,Conflict
दिशा,Direction
स्थित,Located
बैठा,sat
वर्षों,Years
अधिकांश,majority of
शादी,Marriage
वातावरण,Climate
तुलना,Compare
